DATE;IBOV;DY_IBOV;SELIC
42156;53031,32;4.30;13.15
42157;54236,43;4.17;13.15
42158;53522,91;4.21;13.15
42160;52973,38;4.26;13.65
42163;52809,64;4.26;13.65
42164;52815,99;4.27;13.65
42165;53876,45;4.18;13.65
42166;53688,52;4.23;13.65
42167;53347,53;4.22;13.65
42170;53137,53;4.24;13.65
42171;53702,15;4.19;13.65
42172;53248,54;4.27;13.65
42173;54238,59;4.16;13.65
42174;53749,41;4.24;13.65
42177;53863,68;4.24;13.65
42178;53772,43;4.25;13.65
42179;53842,54;4.24;13.65
42180;53175,67;4.29;13.65
42181;54016,97;4.22;13.65
42184;53014,21;4.31;13.65
42185;53080,88;4.32;13.65
42186;52757,54;4.35;13.65
42187;53106,19;4.33;13.65
42188;52519,41;0.44;13.65
42191;52149,37;4.41;13.65
42192;52343,71;4.39;13.65
42193;51781,75;4.44;13.65
42195;52590,72;4.37;13.65
42198;53119,47;4.34;13.65
42199;53239,18;4.33;13.65
42200;52902,28;4.36;13.65
42201;53069,75;0.44;13.65
42202;52341,8;4.41;13.65
42205;51600,08;4.48;13.65
42206;51474,28;4.49;13.65
42207;50915,79;4.49;13.65
42208;49806,63;4.63;13.65
42209;49245,85;4.68;13.65
42212;48735,54;4.74;13.65
42213;49601,6;4.66;13.65
42214;50245,14;4.61;13.65
42215;49897,4;4.71;14.15
42216;50864,77;4.62;14.15
42219;50138,05;0.47;14.15
42220;50058,49;4.71;14.15
42221;50287,27;4.67;14.15
42222;50011,32;4.69;14.15
42223;48577,32;4.80;14.15
42226;49353;4.75;14.15
42227;49072,34;4.77;14.15
42228;48388,05;4.83;14.15
42229;48009,57;4.88;14.15
42230;47508,41;4.98;14.15
42233;47217,43;5.02;14.15
42234;47450,58;5.00;14.15
42235;46588,39;5.11;14.15
42236;46649,23;5.10;14.15
42237;45719,64;5.20;14.15
42240;44336,47;5.36;14.15
42241;44544,86;5.34;14.15
42242;46038,08;5.16;14.15
42243;47715,27;4.97;14.15
42244;47153,87;5.03;14.15
42247;46625,52;5.10;14.15
42248;45477,06;5.24;14.15
42249;46463,96;5.05;14.15
42250;47365,87;4.94;14.15
42251;46497,72;5.04;14.15
42255;46762,07;5.17;14.15
42256;46657,1;5.19;14.15
42257;46503,99;0.52;14.15
42258;46400,5;5.24;14.15
42261;47281,52;5.12;14.15
42262;47364,07;5.11;14.15
42263;48553,1;4.98;14.15
42264;48551,08;4.97;14.15
42265;47264,08;5.11;14.15
42268;46590,2;5.18;14.15
42269;46264,61;5.24;14.15
42270;45340,11;5.35;14.15
42271;45291,96;5.35;14.15
42272;44831,46;5.43;14.15
42275;43956,63;5.53;14.15
42276;44131,82;5.50;14.15
42277;45059,34;5.50;14.15
42278;45313,27;5.47;14.15
42279;47033,46;5.26;14.15
42282;47598,07;5.20;14.15
42283;47735,11;5.17;14.15
42284;48914,32;5.04;14.15
42285;49106,56;4.96;14.15
42286;49338,41;#VALUE!;14.15
42290;47362,64;5.18;14.15
42291;46710,44;5.25;14.15
42292;47161,15;5.24;14.15
42293;47236,11;0.53;14.15
42296;47447,31;5.25;14.15
42297;47076,55;5.33;14.15
42298;47025,87;5.34;14.15
42299;47772,14;5.26;14.15
42300;47596,59;5.25;14.15
42303;47209,32;5.29;14.15
42304;47042,95;5.30;14.15
42305;46740,85;5.34;14.15
42306;45628,35;5.47;14.15
42307;45868,82;5.44;14.15
42311;48053,67;5.19;14.15
42312;47710,1;5.24;14.15
42313;48046,76;0.52;14.15
42314;46918,52;5.29;14.15
42317;46194,92;5.39;14.15
42318;46206,57;5.39;14.15
42319;47065,01;5.31;14.15
42320;46883,58;5.33;14.15
42321;46517,04;5.29;14.15
42324;46846,88;5.23;14.15
42325;47247,8;5.20;14.15
42326;47435,58;5.17;14.15
42327;48138,89;5.10;14.15
42331;48150,27;4.98;14.15
42332;48284,19;4.95;14.15
42333;46866,63;5.11;14.15
42334;47145,63;5.08;14.15
42335;45872,91;5.23;14.15
42338;45120,36;5.30;14.15
42339;45046,75;5.33;14.15
42340;44914,53;5.35;14.15
42341;46393,26;5.20;14.15
42342;45360,76;5.32;14.15
42345;45222,7;5.32;14.15
42346;44443,26;0.54;14.15
42347;46108,03;5.21;14.15
42348;45630,71;0.53;14.15
42349;45262,72;5.32;14.15
42352;44747,31;5.39;14.15
42353;44872,47;5.38;14.15
42354;45015,84;5.33;14.15
42355;45261,48;0.53;14.15
42356;43910,6;5.51;14.15
42359;43199,95;5.61;14.15
42360;43469,52;5.58;14.15
42361;44014,93;5.51;14.15
42366;43764,34;5.54;14.15
42367;43653,97;0.56;14.15
42368;43349,96;5.59;14.15
42373;42141,04;5.68;14.15
42374;42419,32;5.64;14.15
42375;41773,14;5.73;14.15
42376;40694,72;5.90;14.15
42377;40612,21;5.92;14.15
42380;39950,49;6.02;14.15
42381;39513,83;6.09;14.15
42382;38944,44;6.21;14.15
42383;39500,11;6.09;14.15
42384;38569,13;6.24;14.15
42387;37937,27;6.42;14.15
42388;38057,02;6.41;14.15
42389;37645,48;6.49;14.15
42390;37717,11;6.47;14.15
42391;38031,22;6.43;14.15
42395;37497,48;6.53;14.15
42396;38376,37;6.38;14.15
42397;38630,19;6.34;14.15
42398;40405,99;6.06;14.15
42401;40570,04;6.01;14.15
42402;38596,17;6.27;14.15
42403;39588,82;6.10;14.15
42404;40821,73;5.92;14.15
42405;40592,09;5.95;14.15
42410;40376,58;5.99;14.15
42411;39318,3;6.15;14.15
42412;39808,05;6.08;14.15
42415;40092,89;6.03;14.15
42416;40947,7;5.90;14.15
